date,city,latitude,longitude,population,precipitation_sum,windspeed_10m_max,temperature_2m_max,temperature_2m_min
2017-01-01,New York,40.71,-74.01,20140470,0.3,31.9,4.4,-3.2
2017-01-02,New York,40.71,-74.01,20140470,3.2,27.8,2.1,-5.8
2017-01-03,New York,40.71,-74.01,20140470,0.0,23.5,1.2,-6.8
2017-01-04,New York,40.71,-74.01,20140470,0.0,55.0,4.3,-4.4
2017-01-05,New York,40.71,-74.01,20140470,0.0,33.5,4.3,-3.5
2017-01-06,New York,40.71,-74.01,20140470,1.6,22.9,4.9,-6.3
2017-01-07,New York,40.71,-74.01,20140470,0.0,29.5,-0.6,-8.8
2017-01-08,New York,40.71,-74.01,20140470,0.1,8.1,5.0,-4.1
2017-01-09,New York,40.71,-74.01,20140470,0.3,23.9,1.2,-7.0
2017-01-10,New York,40.71,-74.01,20140470,0.0,21.0,8.5,0.7
2017-01-11,New York,40.71,-74.01,20140470,0.0,40.3,3.5,-5.5
2017-01-12,New York,40.71,-74.01,20140470,7.6,18.3,2.8,-4.5
2017-01-13,New York,40.71,-74.01,20140470,0.0,21.5,7.3,-0.8
2017-01-14,New York,40.71,-74.01,20140470,0.0,18.3,1.2,-8.5
2017-01-15,New York,40.71,-74.01,20140470,0.0,24.5,7.3,-0.5
2017-01-16,New York,40.71,-74.01,20140470,0.0,22.9,4.4,-3.4
2017-01-17,New York,40.71,-74.01,20140470,0.0,22.1,5.1,-3.1
2017-01-18,New York,40.71,-74.01,20140470,0.0,20.6,10.4,1.3
2017-01-19,New York,40.71,-74.01,20140470,0.0,37.4,0.8,-7.3
2017-01-20,New York,40.71,-74.01,20140470,0.0,37.1,3.4,-5.3
2017-01-21,New York,40.71,-74.01,20140470,0.0,42.7,7.2,-1.1
2017-01-22,New York,40.71,-74.01,20140470,8.6,11.6,0.3,-7.0
2017-01-23,New York,40.71,-74.01,20140470,0.0,48.9,0.7,-8.2
2017-01-24,New York,40.71,-74.01,20140470,0.0,22.3,6.8,-1.8
2017-01-25,New York,40.71,-74.01,20140470,3.1,5.1,5.3,-5.1
2017-01-26,New York,40.71,-74.01,20140470,13.0,35.2,4.1,-3.5
2017-01-27,New York,40.71,-74.01,20140470,0.0,29.4,16.6,9.0
2017-01-28,New York,40.71,-74.01,20140470,0.0,35.7,6.8,-1.5
2017-01-29,New York,40.71,-74.01,20140470,9.6,47.4,6.5,-2.2
2017-01-30,New York,40.71,-74.01,20140470,0.0,15.7,5.1,-2.8
2017-01-31,New York,40.71,-74.01,20140470,1.5,31.1,9.1,-0.6
2017-02-01,New York,40.71,-74.01,20140470,1.0,56.9,5.4,-2.7
2017-02-02,New York,40.71,-74.01,20140470,12.7,40.1,8.2,-0.2
2017-02-03,New York,40.71,-74.01,20140470,0.0,31.4,9.0,0.9
2017-02-04,New York,40.71,-74.01,20140470,0.0,41.9,6.1,-4.4
2017-02-05,New York,40.71,-74.01,20140470,0.0,20.0,8.9,0.0
2017-02-06,New York,40.71,-74.01,20140470,0.0,31.7,8.2,-0.1
2017-02-07,New York,40.71,-74.01,20140470,0.0,30.4,9.3,0.5
2017-02-08,New York,40.71,-74.01,20140470,0.0,24.7,2.9,-5.1
2017-02-09,New York,40.71,-74.01,20140470,0.0,23.9,11.1,3.1
2017-02-10,New York,40.71,-74.01,20140470,0.0,32.2,14.2,5.0
2017-02-11,New York,40.71,-74.01,20140470,0.0,38.3,8.7,0.4
2017-02-12,New York,40.71,-74.01,20140470,0.0,30.3,10.2,1.8
